created_at,username,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,tweet_url
Mon Jan 23 03:23:24 +0000 2023,MRINDEPENDEN99,Investasi oligarki sudah cair..... NANTI TUKAR YA sama UU Peraturan Sda - Nikel batubara emas timah hph hutan project2 infrastuktur IKN project bumn dll... Siap siap miskin bangsa dan negara,0,1,2,6,in,1602851712037187584,1617362337215942658,https://x.com/MRINDEPENDEN99/status/1617362337215942658
Thu Jan 19 01:00:32 +0000 2023,aidevvir,pemerintah sepakati 40 kontrak infrastuktur IKN #UntukRISejahtera https://t.co/WGvm4nVnsx,0,0,0,0,in,1593552070845480961,1615876829532880901,https://x.com/aidevvir/status/1615876829532880901
Wed Jan 11 01:03:37 +0000 2023,Nien1708,#EkonomiRITerbaik PLN telahmenyiapkan rencana pembangunan infrastuktur yg sejalan dgn prinsip envrironment sustainbility and Governance untuk melistriki pembangunan IKN.yg mengusung konsep future Smart Forest City Of Indonesia #EkonomiRITerbaik https://t.co/hlxn5gLM9I,0,0,0,0,in,1433294367486136322,1612978503561121792,https://x.com/Nien1708/status/1612978503561121792
Tue Dec 27 05:05:16 +0000 2022,halaucovid,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/wtUcmQYh2G,0,0,0,0,in,1564467295002705920,1607603499449081856,https://x.com/halaucovid/status/1607603499449081856
Tue Dec 27 05:05:05 +0000 2022,sebhayu,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/Ffq7YIkI9S,0,0,0,0,in,1395930975549280259,1607603454133796866,https://x.com/sebhayu/status/1607603454133796866
Mon Dec 26 05:05:18 +0000 2022,sebhayu,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/TSsBYWTcBo,0,0,0,0,in,1395930975549280259,1607241118873227265,https://x.com/sebhayu/status/1607241118873227265
Mon Dec 26 05:05:14 +0000 2022,halaucovid,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/7IBu23TSlc,0,0,0,0,in,1564467295002705920,1607241100732817408,https://x.com/halaucovid/status/1607241100732817408
Sun Dec 25 06:10:33 +0000 2022,KulopJambi_NKRI,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/zHkTxcIB1j,0,0,0,0,in,2505661556,1606895149820305408,https://x.com/KulopJambi_NKRI/status/1606895149820305408
Sun Dec 25 06:05:28 +0000 2022,halaucovid,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/P7dJdtQN8D,0,0,0,0,in,1564467295002705920,1606893871845318657,https://x.com/halaucovid/status/1606893871845318657
Sun Dec 25 06:05:14 +0000 2022,HinataAgustus,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/vOjaDVGrI0,0,0,0,1,in,1564304124703027200,1606893813196365824,https://x.com/HinataAgustus/status/1606893813196365824
